"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses","adjusted_salaries","adjusted_max_salary","adjusted_min_salary"
"230",2017,"NYK",56,18,103595894,1e+05,24559380,2224829.5,8556,31,51,92157744.2153394,21847748.7160574,88958.8772845953
"231",2017,"OKC",55,21,91339949,50000,26540100,2440200,8741,47,35,81254993.1427219,23609774.9902089,44479.4386422977
"232",2017,"ORL",55,18,104110336,31969,1.7e+07,4130580,8288,29,53,92615386.0428198,15123009.1383812,28439.2634791123
"233",2017,"PHI",35,28,85674275,38903,11027027,1330190,8400,28,54,76214873.1617167,9809519.41706919,34607.6720300261
"234",2017,"PHO",73,21,85115778,23069,1.4e+07,2223600,8831,24,58,75718040.5008486,12454242.8198433,20521.9234007833
"235",2017,"POR",41,15,111872768,6e+05,24328425,6666667,8851,41,41,99520758.4,21642293.7410248,533753.263707572
"236",2017,"SAC",90,21,96043092,82979,13333333,3551160,8430,32,50,85438856.352611,11861183.3414165,73817.1867819843
"237",2017,"SAS",85,20,108640621,75000,20575005,1371869.5,8637,61,21,96645476.7166123,18303293.4492493,66719.1579634465
"238",2017,"TOR",53,19,108664969,50000,26540100,1921320,8762,51,31,96667136.4240535,23609774.9902089,44479.4386422977
"239",2017,"UTA",71,18,80598193,75000,16073140,2295300,8258,51,31,71699247.6044713,14298484.8883812,66719.1579634465
"240",2017,"WAS",55,18,102334382,175000,22116750,3128705.5,8953,49,33,91035517.303329,19674812.4918407,155678.035248042
"241",2018,"ATL",38,27,99701094,26773,16910113,1567200,8475,24,58,86578318.2199779,14684383.949185,23249.1061101443
"242",2018,"BOS",54,19,115075693,44495,29727900,2247480,8529,55,27,99929294.3359126,25815078.6811996,38638.5155332189
"243",2018,"BRK",59,17,95964560,1312611,19332500,2300000,8741,28,54,83333591.2394318,16787933.5104159,1139843.58944992
"244",2018,"CHI",40,26,90183960,50000,15550000,2174703,8440,27,55,78313840.6406831,13503290.6290944,43418.9409295639
"245",2018,"CHO",64,14,117228164,815615,23500000,4952240,8874,36,46,101798454.559945,20406902.236895,708262.790125325
"246",2018,"CLE",103,17,137912382,13156,33285709,2386864,9091,50,32,119760191.350269,28904604.6573931,11424.3917373869
"247",2018,"DAL",73,20,86136236,46080,23112004,2302865,8390,24,58,74798882.8555795,20069974.7287969,40014.8959606861
"248",2018,"DEN",79,16,107015203,1454756,31269231,3444326.5,9020,46,36,92929735.5524458,27153537.8740378,1263279.29661857
"249",2018,"DET",70,18,118897722,25000,29727900,3063105,8509,39,43,103248263.363554,25815078.6811996,21709.4704647819
"250",2018,"GSW",114,17,135371746,14832,34682550,1471382,9304,58,24,117553956.862119,30117591.7947329,12879.7946373458
"251",2018,"HOU",118,24,118271480,4608,28299399,1271398.5,9213,65,17,102704448.075442,24574598.6704632,4001.48959606861
"252",2018,"IND",73,21,93669385,7416,2.1e+07,2028360,8656,48,34,81340509.8844716,18235955.1904168,6439.89731867292
"253",2018,"LAC",66,20,119178226,166258,22642350,3654057,8937,42,40,103491847.095684,19662137.1431302,144374.925621349
"254",2018,"LAL",82,22,102260522,13824,22642350,1409040,8862,35,47,88800871.2828874,19662137.1431302,12004.4687882058
"255",2018,"MEM",70,23,110735427,27648,28530608,1312611,8145,22,60,96160299.2744607,24775375.6687309,24008.9375764116
"256",2018,"MIA",75,17,129458084,1312611,25289390,2705040,8480,44,38,112418658.04101,21960770.6110941,1139843.58944992
"257",2018,"MIL",76,20,115375243,297169,22471910,2071049.5,8731,44,38,100189417.211022,19514130.6572895,258055.265141951
"258",2018,"MIN",81,17,105179926,4608,19301070,3949999,8980,47,35,91336019.879398,16760640.3641476,4001.48959606861
"259",2018,"NOP",80,21,118896488,25000,25686667,1471382,9161,48,34,103247191.784092,22305757.5430076,21709.4704647819
"260",2018,"NYK",80,20,104405157,50000,20566802,3203257.5,8566,29,53,90663226.8904969,17859775.2229607,43418.9409295639
"261",2018,"OKC",90,16,133777615,340829,28530608,3554477.5,8844,48,34,116169647.267659,24775375.6687309,295968.684361647
"262",2018,"ORL",59,17,95538311,161280,1.7e+07,4186320,8479,25,57,82963445.6363861,14762439.9160517,140052.135862401
"263",2018,"PHI",61,19,100223563,74159,2.3e+07,1579440,9004,52,30,87032019.2329485,19972712.8275994,64398.1048079106
"264",2018,"PHO",59,21,92518634,87552,16384175,3152931,8522,21,61,80341222.0905988,14227670.5300927,76028.3023253036
"265",2018,"POR",48,19,119265264,83129,26153057,2844429,8661,49,33,103567429.051297,22710760.7402104,72187.4628106743
"266",2018,"SAC",58,21,95682824,55296,12307692,2451225,8104,27,55,83088937.6645972,10687739.0385453,48017.8751528233
"267",2018,"SAS",84,17,116153554,815615,21461010,2151704,8424,47,35,100865285.997698,18636286.5095756,708262.790125325
"268",2018,"TOR",50,17,116574876,92160,28703704,1645200,9156,59,23,101231153.098305,24925688.5687137,80029.7919213722
"269",2018,"UTA",59,18,106140633,92160,21974719,3600000,8540,48,34,92170277.4890704,19082380.5240953,80029.7919213722
"270",2018,"WAS",88,18,124030914,8313,24773250,2546520,8742,43,39,107705818.568116,21512565.5676664,7218.83311894929
"271",2019,"ATL",67,23,107076435,47371,25534253,2299080,9294,29,53,91328064.9869161,21778778.0978733,40403.8644590213
"272",2019,"BOS",60,17,125541941,17092,31214295,3050390,9216,49,33,107077738.871597,26623422.4391274,14578.1776051507
"273",2019,"BRK",63,21,118271871,4737,18919725,2165481,9204,42,40,100876921.43292,16137088.1869067,4040.30115349863
"274",2019,"CHI",39,21,112898444,88531,26011913,2280600,8605,22,60,96293796.3946381,22186185.7924015,75510.2177370461
"275",2019,"CHO",85,15,122327044,988464,2.4e+07,5e+06,9081,39,43,104335675.950449,20470176.8384985,843084.703270397
"276",2019,"CLE",77,19,124623504,76236,24119025,2775000,8567,19,63,106294381.879722,20571696.1217569,65023.5167274904
"277",2019,"DAL",77,20,88351669,4737,17325000,2246041.5,8927,33,49,75357262.0169368,14776908.9052911,4040.30115349863
"278",2019,"DEN",60,18,117304721,35000,29230769,2097911.5,9075,54,28,100052015.95253,24931625.4398041,29852.3412228102
"279",2019,"DET",86,17,125244035,838464,32088932,3275280,8778,41,41,106823647.684045,27369421.358273,715146.098029782
"280",2019,"GSW",98,16,146186409,486892,37457154,1904860.5,9650,57,25,124685901.817294,31948106.9269529,415281.889218758
"281",2019,"HOU",99,19,124810135,23685,35654150,917272,9341,53,29,106453563.945286,30410281.4802646,20201.5057674932
"282",2019,"IND",72,22,110804431,47371,2.1e+07,2533680,8857,48,34,94507762.3774667,17911404.7336861,40403.8644590213
"283",2019,"LAC",79,23,118370702,94742,21587579,3500000,9442,48,34,100961216.768217,18412564.9852107,80807.7289180425
"284",2019,"LAL",84,18,107275731,52108,35654150,2446943.5,9165,37,45,91498049.335383,30410281.4802646,44444.1656125199
"285",2019,"MEM",92,22,124877079,47371,30521116,1554707.5,8490,33,49,106510662.091881,26032193.4095135,40403.8644590213
"286",2019,"MIA",85,19,151716389,4737,26837720,2955840,8668,39,43,129402554.672018,22890536.4309211,4040.30115349863
"287",2019,"MIL",91,20,125890474,99290,24157304,2958140,9686,60,22,107375011.044266,20604345.2008903,84686.827428938
"288",2019,"MIN",89,20,121968101,56845,25467250,2418970,9223,36,46,104029524.838577,21721629.6287604,48484.4667660185
"289",2019,"NOP",68,20,114806900,34183,25976111,1981214.5,9466,33,49,97921564.3866587,22155649.4061027,29155.5022862664
"290",2019,"NYK",56,19,123388448,42634,22897200,3819960,8575,17,65,105240972.932828,19529572.2127695,36363.5633055226
"291",2019,"OKC",68,18,143896557,47371,35654150,2256363.5,9387,49,33,122732832.010045,30410281.4802646,40403.8644590213
"292",2019,"ORL",47,18,114566809,268083,21590909,3752177,8800,42,40,97716785.0021865,18415405.222247,228654.434058133
"293",2019,"PHI",82,18,112942947,59820,25467250,2639700,9445,51,31,96331754.072965,21721629.6287604,51021.9157699574
"294",2019,"PHO",79,25,109405766,47371,19245370,3208630,8815,19,63,93314807.3821409,16414838.6342639,40403.8644590213
"295",2019,"POR",63,18,132512467,333333,27977689,3158659,9402,53,29,113023068.033154,23862843.3901047,284307.7273378
"296",2019,"SAC",53,21,103537060,47371,24107258,3e+06,9363,39,43,88309246.9807594,20561659.7646378,40403.8644590213
"297",2019,"SAS",95,18,122398215,59820,27739975,2723660,9156,48,34,104396379.40694,23660091.4060636,51021.9157699574
"298",2019,"TOR",83,17,136242478,106237,31200000,1544951,9384,58,24,116204484.065635,26611229.890048,90612.0906996484
"299",2019,"UTA",74,15,111744016,1378242,23241573,5250000,9161,50,32,95309157.0068334,19823296.221453,1175535.72776024
"300",2019,"WAS",97,21,124396126,9474,25434262,2494346,9350,32,50,106100445.718506,21693493.3706959,8080.60230699727
