"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses","adjusted_salaries","adjusted_max_salary","adjusted_min_salary"
"58",2011,"TOR",46,19,69992648,58393,14896000,2292600,8124,22,60,67850914.4803169,14440191.2340679,56606.2088299495
"59",2011,"UTA",72,14,75855296,473604,17823000,3350000,8153,39,43,73534168.9283584,17277626.7699243,459111.998470697
"60",2011,"WAS",58,18,58324988,89670,19573711,2050520,7977,23,59,56540277.956815,18974767.0515829,86926.151178764
"61",2012,"ATL",115,16,73669912,122237,18038573,1352181,6375,40,26,69967709.6573604,17132063.8783592,116094.110786867
"62",2012,"BOS",99,15,79820530,473604,21247044,2246400,6062,39,27,75809234.9524813,20179296.6125596,449803.539395629
"63",2012,"BRK",76,20,65281235,61433,16359805,1871540,6144,22,44,62000596.6147199,15537660.5620356,58345.7505335505
"64",2012,"CHI",73,14,69548447,277566,13500000,4055000,6359,50,16,66053364.4565276,12821571.9922995,263617.218638118
"65",2012,"CHO",57,15,57902024,473604,10262069,2750000,5739,7,59,54992219.9419149,9746359.73877366,449803.539395629
"66",2012,"CLE",45,18,64875599,61433,15076715,1795980,6140,21,45,61615345.4164482,14319050.8725838,58345.7505335505
"67",2012,"DAL",114,13,74463409,788872,19092873,3e+06,6322,36,30,70721330.3174473,18133381.1636541,749228.084496982
"68",2012,"DEN",53,15,58553173,289382,1.3e+07,3059000,6872,38,28,55610646.1479307,12346698.9555476,274839.418242637
"69",2012,"DET",62,15,70923605,374289,12500000,3250000,5997,25,41,67359415.3674748,11871825.9187958,355479.508105613
"70",2012,"GSW",50,17,61576901,116768,11610000,2956658,6453,23,43,58482419.9432738,11026551.9133775,110899.949510876
"71",2012,"HOU",40,16,57021755,270427,11519840,2297066.5,6474,34,32,54156187.9155379,10940922.8073904,256836.981419375
"72",2012,"IND",48,14,51554083,810000,12015904,2404620,6449,42,24,48963287.9023319,11412057.643597,769294.319537967
"73",2012,"LAC",95,17,67333389,42009,16359805,2000032,6438,40,26,63949621.8184447,15537660.5620356,39897.8828018154
"74",2012,"LAL",105,16,88264478,73818,25244493,2453100,6422,41,25,83828841.4103504,23975858.1043407,70108.3556538934
"75",2012,"MEM",69,17,70940349,65446,15200000,2e+06,6269,41,25,67375317.9157295,14436140.3172557,62157.0815265207
"76",2012,"MIA",95,15,74117458,248263,16022500,3e+06,6500,46,20,70392764.7135727,15217306.4627124,235786.80944624
"77",2012,"MIL",62,15,60192388,245884,1.2e+07,3500000,6535,31,35,57167484.157809,11396952.882044,233527.363537375
"78",2012,"MIN",42,15,56844339,5e+05,6262347,4300000,6464,26,40,53987687.7661611,5947639.47416744,474873.036751832
"79",2012,"NOP",51,18,65441008,76392,14030000,2335820,5916,21,45,62152340.3941218,13324937.4112564,72553.0020470918
"80",2012,"NYK",82,16,76208092,473604,18518574,1352181,6458,36,30,72378336.1462059,17587942.943387,449803.539395629
"81",2012,"OKC",59,16,59501709,475000,15506632,3286498.5,6802,47,19,56511514.4895076,14727362.8552663,451129.38491424
"82",2012,"ORL",68,16,86962825,414443,19269307,2973300,6215,37,29,82592601.5845362,18300948.6623866,393615.611941079
"83",2012,"PHI",54,14,66672368,305792,17059727,2896232,6180,35,31,63321819.7191913,16202408.7332944,290424.751308832
"84",2012,"PHO",88,16,80640576,51097,18300000,4125000,6492,33,33,76588070.4210737,17380353.145117,48529.1751178167
"85",2012,"POR",71,16,79568536,762195,16032144,1962082.5,6415,28,38,75569904.6404349,15226465.8138453,723891.708494124
